state_name,county_name,population_density,rural_population,gas_percentage,electricity_percentage,oil_percentage,percentage_of_underserved_population,percentage_of_population_without_broadband_or_computer
New York,Schuyler,54.37905,Rural,0.456,0.169,0.185,100.0,16.6
Michigan,Van Buren,124.4436,Not rural,0.775,0.105,0.031,96.8,17.3
Illinois,Mercer,27.95953,Rural,0.837,0.115,0.011,100.0,12.1
Kentucky,Lawrence,39.04742,Rural,0.278,0.627,0.016,100.0,28.8
Kentucky,Morgan,36.31559,Rural,0.312,0.579,0.012,100.0,24.0
Kentucky,Muhlenberg,65.77426,Rural,0.381,0.592,0.003,100.0,20.1
Illinois,Effingham,72.25614,Rural,0.625,0.337,0.0,100.0,13.3
Tennessee,Loudon,242.1012,Not rural,0.325,0.65,0.008,79.6,17.8
South Dakota,Clark,4.007261,Rural,0.669,0.295,0.01,100.0,20.6
Florida,Gilchrist,51.67361,Rural,0.044,0.928,0.001,100.0,30.6
Indiana,Tippecanoe,374.7362,Not rural,0.634,0.355,0.001,67.3,12.5
Pennsylvania,Snyder,121.0429,Rural,0.191,0.338,0.311,100.0,20.8
Texas,Lamar,55.27089,Not rural,0.38,0.597,0.001,88.6,29.3
Florida,Miami-Dade,1414.918,Not rural,0.033,0.918,0.002,94.2,18.6
Nebraska,Dundy,1.984389,Rural,0.728,0.204,0.005,100.0,19.8
Texas,Leon,14.8422,Rural,0.297,0.654,0.0,100.0,26.6
Colorado,Pitkin,17.84792,Rural,0.607,0.36,0.001,100.0,7.1
North Dakota,Grand Forks,50.77685,Not rural,0.475,0.479,0.012,64.7,15.0
Indiana,LaPorte,187.5606,Not rural,0.876,0.101,0.004,85.5,16.4
Indiana,Hamilton,886.2678,Not rural,0.624,0.365,0.002,52.8,4.0
Virginia,Emporia,822.7209,Rural,0.085,0.713,0.151,100.0,26.8
Oklahoma,Lincoln,35.42106,Rural,0.487,0.452,0.001,100.0,27.7
Kansas,Greeley,1.643105,Rural,0.785,0.183,0.0,100.0,11.9
Georgia,Harris,75.27599,Not rural,0.175,0.802,0.001,99.8,12.4
Georgia,Screven,21.71809,Rural,0.114,0.866,0.004,100.0,22.7
Texas,Stonewall,1.452561,Rural,0.249,0.693,0.0,100.0,12.5
Ohio,Henry,66.34693,Rural,0.742,0.193,0.011,100.0,10.9
New Hampshire,Grafton,53.16404,Rural,0.29,0.106,0.468,100.0,13.8
Missouri,Newton,94.46751,Not rural,0.424,0.485,0.001,94.4,21.4
Indiana,Posey,61.61926,Not rural,0.544,0.434,0.001,97.4,15.6
Texas,McMullen,0.5878228,Rural,0.134,0.866,0.0,100.0,16.3
Illinois,Cumberland,30.19856,Rural,0.712,0.205,0.006,100.0,19.2
Georgia,Walton,299.0999,Not rural,0.288,0.694,0.001,84.7,14.5
Minnesota,Pope,16.7696,Rural,0.755,0.156,0.038,100.0,17.6
Virginia,Rappahannock,27.86326,Rural,0.227,0.504,0.095,100.0,15.3
Virginia,Amherst,66.30496,Not rural,0.043,0.846,0.054,88.1,26.1
California,Ventura,457.421,Not rural,0.756,0.184,0.001,80.1,10.3
Illinois,Crawford,42.21633,Rural,0.764,0.201,0.001,100.0,16.3
Colorado,Park,8.022301,Rural,0.729,0.134,0.0,100.0,12.1
California,Los Angeles,2447.312,Not rural,0.655,0.278,0.001,87.6,13.1
Arizona,Yuma,37.06565,Not rural,0.224,0.699,0.0,92.4,17.5
Georgia,Gordon,162.1158,Rural,0.303,0.676,0.0,100.0,21.7
Iowa,Calhoun,17.36083,Rural,0.715,0.25,0.004,100.0,13.0
Florida,Highlands,100.5631,Rural,0.029,0.944,0.0,100.0,21.8
Virginia,Covington,1046.32,Rural,0.433,0.525,0.029,100.0,16.9
Vermont,Orange,42.85101,Rural,0.26,0.03,0.402,100.0,16.2
Kansas,McPherson,33.4916,Rural,0.738,0.234,0.002,100.0,13.3
Arizona,Pinal,80.74615,Not rural,0.357,0.619,0.001,83.5,12.9
Ohio,Fulton,105.0741,Not rural,0.785,0.165,0.005,96.9,12.5
Colorado,Alamosa,22.77742,Rural,0.594,0.3,0.002,100.0,18.5
Florida,Citrus,266.6563,Rural,0.025,0.956,0.001,100.0,14.2
Tennessee,DeKalb,66.38637,Rural,0.391,0.59,0.0,100.0,23.8
Pennsylvania,Clarion,62.39478,Rural,0.772,0.122,0.041,100.0,19.1
South Dakota,Miner,4.054929,Rural,0.577,0.341,0.012,100.0,18.7
South Dakota,Jerauld,3.489614,Rural,0.662,0.289,0.016,100.0,20.4
Indiana,Decatur,70.94548,Rural,0.534,0.398,0.005,100.0,18.9
Indiana,Dubois,102.0065,Rural,0.614,0.347,0.006,100.0,13.3
Virginia,Essex,41.19922,Rural,0.112,0.762,0.107,100.0,33.1
South Carolina,Williamsburg,33.05517,Rural,0.127,0.845,0.016,100.0,43.6
New York,Essex,20.79792,Rural,0.203,0.199,0.476,100.0,17.3
Iowa,Worth,18.53678,Rural,0.846,0.127,0.0,100.0,16.2
Oklahoma,Hughes,16.66806,Rural,0.349,0.619,0.001,100.0,47.1
Virginia,Buchanan,40.26215,Rural,0.056,0.873,0.022,100.0,29.6
Virginia,Alleghany,33.94524,Rural,0.169,0.635,0.089,100.0,24.2
Mississippi,Lowndes,115.8318,Not rural,0.406,0.587,0.0,94.0,19.3
Indiana,Scott,128.1653,Rural,0.328,0.62,0.014,100.0,28.4
Colorado,Prowers,7.304651,Rural,0.856,0.122,0.006,100.0,16.3
Texas,Sutton,2.300653,Rural,0.287,0.709,0.0,100.0,44.1
Oklahoma,Muskogee,82.1647,Not rural,0.418,0.553,0.001,90.8,25.4
Missouri,Christian,159.195,Not rural,0.583,0.364,0.001,74.6,13.7
Mississippi,Lamar,129.7401,Not rural,0.197,0.793,0.002,99.1,13.4
Indiana,Ripley,64.93778,Rural,0.5,0.393,0.012,100.0,18.4
North Dakota,Mercer,8.022779,Rural,0.638,0.339,0.005,100.0,12.7
Georgia,Hart,112.3387,Rural,0.232,0.726,0.001,100.0,27.9
Louisiana,Jackson,26.50789,Rural,0.401,0.565,0.001,100.0,22.7
Virginia,Northumberland,62.72216,Rural,0.115,0.723,0.123,100.0,18.0
Texas,Fort Bend,966.1356,Not rural,0.621,0.37,0.001,85.2,6.0
Wisconsin,Green Lake,54.62259,Rural,0.805,0.107,0.012,100.0,23.3
Montana,Pondera,3.68529,Rural,0.758,0.196,0.006,100.0,20.7
Wisconsin,Walworth,189.2836,Rural,0.823,0.143,0.01,100.0,12.7
Nevada,Mineral,1.217717,Rural,0.46,0.192,0.033,100.0,27.7
Illinois,Fulton,38.91838,Rural,0.776,0.199,0.0,100.0,16.0
New York,Suffolk,1673.563,Not rural,0.444,0.082,0.458,67.6,9.1
Indiana,Union,43.68134,Rural,0.512,0.326,0.081,100.0,26.4
Missouri,McDonald,43.34271,Rural,0.333,0.479,0.0,100.0,43.6
Nebraska,Scotts Bluff,48.73933,Rural,0.647,0.319,0.0,100.0,16.0
New Mexico,San Miguel,5.76404,Rural,0.505,0.126,0.017,100.0,32.5
Alabama,Lee,288.2523,Not rural,0.201,0.788,0.0,73.7,14.7
Texas,Parker,167.2952,Not rural,0.219,0.762,0.001,88.9,11.8
North Dakota,Dickey,4.42159,Rural,0.413,0.438,0.095,100.0,15.6
North Dakota,Barnes,7.258176,Rural,0.426,0.47,0.051,100.0,16.9
Minnesota,Sibley,25.38885,Rural,0.77,0.119,0.058,100.0,17.3
Georgia,Upson,85.44311,Rural,0.416,0.57,0.0,100.0,23.0
California,Sonoma,310.0527,Not rural,0.704,0.24,0.001,79.3,8.5
Michigan,Chippewa,23.52892,Rural,0.71,0.168,0.03,100.0,15.9
Idaho,Bonneville,66.71587,Not rural,0.597,0.379,0.005,63.1,7.1
Georgia,Barrow,524.0982,Not rural,0.215,0.77,0.003,93.6,13.3
Georgia,Long,41.96814,Rural,0.07,0.92,0.0,100.0,12.8
Texas,Kinney,2.320413,Rural,0.075,0.925,0.0,100.0,47.4
Oklahoma,Ottawa,64.72153,Rural,0.502,0.411,0.001,100.0,27.6
Pennsylvania,Clearfield,69.60339,Rural,0.355,0.111,0.415,100.0,21.9
Michigan,Clinton,139.6829,Not rural,0.805,0.107,0.031,84.5,10.6
Illinois,Montgomery,40.28612,Rural,0.726,0.239,0.002,100.0,21.1
Mississippi,Alcorn,86.78285,Rural,0.431,0.557,0.002,100.0,23.6
Mississippi,Lafayette,88.92233,Not rural,0.396,0.582,0.0,84.7,14.2
Louisiana,Grant,34.49226,Rural,0.275,0.679,0.0,100.0,27.0
Missouri,Atchison,9.629345,Rural,0.554,0.358,0.006,100.0,18.1
Illinois,Macon,178.3437,Not rural,0.755,0.23,0.0,72.5,17.0
Michigan,St. Joseph,121.6184,Rural,0.813,0.093,0.017,100.0,18.2
Illinois,Franklin,92.46159,Rural,0.482,0.484,0.002,100.0,19.8
Montana,Garfield,0.2087004,Rural,0.437,0.442,0.007,100.0,19.3
Nebraska,Adams,55.28926,Not rural,0.646,0.329,0.0,66.4,14.0
Minnesota,Olmsted,248.3624,Not rural,0.787,0.185,0.003,67.8,8.9
New Jersey,Union,5566.794,Not rural,0.843,0.097,0.048,80.5,13.1
Alabama,Mobile,336.6575,Not rural,0.356,0.633,0.001,81.6,21.3
South Dakota,McCook,9.951144,Rural,0.684,0.235,0.029,100.0,15.6
Alabama,Fayette,25.96371,Rural,0.339,0.627,0.002,100.0,23.8
Alabama,Chambers,58.01986,Rural,0.281,0.692,0.002,100.0,24.5
North Carolina,Northampton,32.65821,Rural,0.277,0.663,0.037,100.0,42.9
Colorado,Moffat,2.789652,Rural,0.729,0.173,0.0,100.0,16.9
Kentucky,Green,39.15894,Rural,0.303,0.567,0.01,100.0,23.0
Indiana,Franklin,59.43929,Rural,0.49,0.349,0.031,100.0,18.9
North Carolina,Beaufort,53.69168,Rural,0.395,0.567,0.017,100.0,26.0
North Dakota,Burleigh,60.29481,Not rural,0.717,0.259,0.002,61.6,13.4
North Carolina,Rowan,287.4595,Not rural,0.277,0.675,0.022,82.5,14.7
Michigan,Iron,9.934858,Rural,0.811,0.052,0.015,100.0,24.2
Minnesota,Kandiyohi,54.78795,Rural,0.746,0.197,0.018,100.0,13.6
Kentucky,Wolfe,29.58687,Rural,0.346,0.457,0.06,100.0,26.6
Texas,Fayette,25.85865,Rural,0.326,0.656,0.0,100.0,32.6
South Dakota,Lawrence,32.5566,Rural,0.659,0.289,0.001,100.0,10.9
Maine,Washington,12.13394,Rural,0.163,0.066,0.63,100.0,19.8
Texas,Briscoe,1.433332,Rural,0.589,0.356,0.0,100.0,27.0
Michigan,Ontonagon,4.471473,Rural,0.735,0.039,0.058,100.0,21.6
Mississippi,Carroll,15.80234,Rural,0.578,0.391,0.0,100.0,30.6
Oregon,Benton,141.6081,Not rural,0.411,0.528,0.003,67.4,7.2
Minnesota,Rock,20.02037,Rural,0.692,0.232,0.024,100.0,14.1
Pennsylvania,Indiana,100.7898,Rural,0.58,0.174,0.179,100.0,22.9
Louisiana,Lincoln,102.4582,Not rural,0.461,0.525,0.0,91.2,13.6
Pennsylvania,Perry,83.30953,Rural,0.143,0.326,0.327,100.0,18.3
South Dakota,Ziebach,1.251754,Rural,0.764,0.195,0.01,100.0,43.4
Texas,Harrison,76.77055,Not rural,0.293,0.694,0.0,91.8,29.2
Michigan,Baraga,9.177151,Rural,0.764,0.048,0.048,100.0,19.3
Oklahoma,Rogers,141.8726,Not rural,0.664,0.305,0.0,92.5,15.7
Missouri,Boone,268.4601,Not rural,0.55,0.433,0.001,69.7,13.2
Oklahoma,Caddo,21.0604,Rural,0.499,0.46,0.017,100.0,26.1
Colorado,Jefferson,759.461,Not rural,0.745,0.232,0.001,62.0,7.0
West Virginia,Cabell,334.3669,Not rural,0.475,0.5,0.001,85.1,22.4
Texas,Reagan,2.814567,Rural,0.477,0.523,0.0,100.0,23.2
Arkansas,Van Buren,22.40793,Rural,0.35,0.564,0.004,100.0,32.0
Colorado,Summit,50.88535,Rural,0.569,0.378,0.005,100.0,14.2
Kansas,Cowley,30.78958,Rural,0.721,0.242,0.003,100.0,17.5
Arkansas,Johnson,39.22148,Rural,0.32,0.603,0.001,100.0,31.2
New York,Hamilton,2.96382,Rural,0.283,0.067,0.409,100.0,21.2
Virginia,Craig,14.92846,Rural,0.177,0.631,0.039,100.0,20.7
Texas,Coleman,6.182525,Rural,0.536,0.453,0.0,100.0,23.4
Arizona,Navajo,10.76537,Rural,0.417,0.207,0.001,100.0,38.2
Mississippi,Lincoln,59.4585,Rural,0.286,0.701,0.0,100.0,33.5
Texas,Ochiltree,10.81417,Rural,0.715,0.271,0.0,100.0,21.4
Texas,Crane,5.905212,Rural,0.41,0.581,0.0,100.0,31.2
Wyoming,Big Horn,3.726541,Rural,0.74,0.145,0.0,100.0,16.0
Tennessee,Hickman,40.8109,Rural,0.224,0.719,0.001,100.0,26.9
Mississippi,Tunica,21.55109,Rural,0.442,0.558,0.0,100.0,22.5
Missouri,Harrison,11.33538,Rural,0.611,0.245,0.002,100.0,20.8
Indiana,Bartholomew,202.4158,Not rural,0.567,0.4,0.003,78.8,15.4
Georgia,Paulding,543.934,Not rural,0.587,0.395,0.001,71.9,12.3
Ohio,Brown,89.29748,Rural,0.285,0.581,0.029,100.0,18.8
Tennessee,Putnam,199.8398,Not rural,0.255,0.721,0.003,82.6,17.1
North Dakota,Ward,34.541,Not rural,0.622,0.349,0.006,68.5,8.7
Massachusetts,Worcester,568.5548,Not rural,0.374,0.184,0.397,71.2,9.8
Ohio,Logan,100.5398,Rural,0.656,0.243,0.014,100.0,14.5
California,Kings,109.6463,Not rural,0.742,0.223,0.001,89.0,17.5
California,San Diego,781.3522,Not rural,0.594,0.332,0.001,79.4,7.7
Georgia,Crawford,37.41295,Rural,0.208,0.766,0.004,100.0,22.8
Missouri,Cass,155.3298,Not rural,0.649,0.322,0.001,78.5,11.4
New York,Dutchess,372.6325,Not rural,0.342,0.163,0.459,97.8,8.6
Texas,Washington,59.26407,Rural,0.311,0.662,0.0,100.0,21.3
Colorado,Pueblo,70.44985,Not rural,0.801,0.17,0.001,79.9,18.1
Missouri,Douglas,14.50672,Rural,0.52,0.245,0.004,100.0,33.5
North Dakota,Bottineau,3.841549,Rural,0.317,0.594,0.055,100.0,14.2
North Carolina,Cumberland,513.6812,Not rural,0.206,0.777,0.006,83.1,12.1
Wyoming,Hot Springs,2.302897,Rural,0.794,0.109,0.001,100.0,17.4
Michigan,Alcona,15.17516,Rural,0.712,0.06,0.022,100.0,23.6
California,Placer,288.9716,Not rural,0.705,0.24,0.001,73.8,7.6
Arkansas,Searcy,11.83398,Rural,0.32,0.451,0.0,100.0,33.8
Texas,Lynn,6.300267,Rural,0.541,0.448,0.0,100.0,22.3
New York,Otsego,59.57449,Rural,0.37,0.129,0.335,100.0,16.7
North Carolina,Richmond,91.09136,Rural,0.271,0.685,0.026,100.0,23.3
North Carolina,Hoke,134.8497,Not rural,0.135,0.844,0.007,88.8,17.5
Nebraska,Otoe,25.98009,Rural,0.635,0.326,0.005,100.0,13.0
Pennsylvania,Cameron,11.4478,Rural,0.606,0.136,0.1,100.0,21.8
South Carolina,Dorchester,285.2155,Not rural,0.215,0.774,0.001,71.9,15.3
Minnesota,Waseca,44.76773,Rural,0.843,0.114,0.01,100.0,10.8
South Dakota,Brule,6.420534,Rural,0.369,0.536,0.034,100.0,24.4
Tennessee,Warren,95.13641,Rural,0.246,0.727,0.002,100.0,24.2
Illinois,Clark,30.84917,Rural,0.754,0.18,0.0,100.0,18.8
Kentucky,Robertson,22.16071,Rural,0.256,0.634,0.024,100.0,44.8
Tennessee,Lake,41.6081,Rural,0.381,0.575,0.0,100.0,28.9
South Carolina,Berkeley,209.6871,Not rural,0.193,0.793,0.002,75.7,15.0
Arkansas,Garland,147.6075,Not rural,0.34,0.637,0.001,89.7,17.5
Kansas,Osage,22.37683,Rural,0.724,0.208,0.001,100.0,17.1
Ohio,Trumbull,326.6773,Not rural,0.825,0.119,0.023,74.1,19.6
Texas,Mills,6.015574,Rural,0.466,0.492,0.0,100.0,21.2
Texas,Oldham,1.446829,Rural,0.594,0.384,0.002,100.0,18.8
Pennsylvania,Butler,246.4413,Not rural,0.715,0.191,0.067,83.9,10.4
Idaho,Idaho,1.980183,Rural,0.116,0.388,0.113,100.0,23.2
Kansas,Marion,12.567,Rural,0.768,0.174,0.002,100.0,18.2
Virginia,Buckingham,29.10342,Rural,0.145,0.715,0.042,100.0,33.8
North Carolina,Cabarrus,626.7324,Not rural,0.431,0.548,0.01,73.1,8.6
Missouri,Webster,66.26298,Rural,0.443,0.421,0.001,100.0,27.9
Utah,Davis,1117.998,Not rural,0.88,0.111,0.0,46.6,5.8
Minnesota,Cottonwood,17.93982,Rural,0.825,0.118,0.029,100.0,18.4
Florida,Okeechobee,51.82725,Rural,0.049,0.919,0.001,100.0,37.0
Georgia,Union,77.2466,Rural,0.463,0.464,0.005,100.0,22.6
Iowa,Black Hawk,231.6207,Not rural,0.689,0.295,0.002,65.6,14.6
Texas,Sabine,20.29651,Rural,0.192,0.748,0.0,100.0,20.8
Ohio,Pike,61.66729,Rural,0.425,0.498,0.025,100.0,23.5
Alabama,Tuscaloosa,175.3101,Not rural,0.298,0.694,0.0,81.2,17.2
Alabama,Wilcox,11.75977,Rural,0.304,0.662,0.003,100.0,35.8
Mississippi,Montgomery,24.08714,Rural,0.551,0.408,0.004,100.0,29.9
Nebraska,Kearney,12.89121,Rural,0.691,0.29,0.001,100.0,11.4
Nebraska,Hitchcock,3.690439,Rural,0.584,0.317,0.03,100.0,23.9
Delaware,New Castle,1338.301,Not rural,0.58,0.3,0.107,75.0,10.6
Idaho,Teton,26.30425,Rural,0.457,0.395,0.024,100.0,9.3
Illinois,Rock Island,336.4218,Not rural,0.833,0.154,0.0,72.7,14.0
Virginia,Gloucester,178.4814,Not rural,0.107,0.803,0.046,90.5,12.2
Arkansas,Sevier,28.23612,Rural,0.217,0.724,0.0,100.0,21.0
Indiana,Cass,91.76402,Rural,0.773,0.177,0.001,100.0,19.7
Idaho,Power,5.6403,Not rural,0.536,0.378,0.021,99.9,18.1
Indiana,Carroll,54.79755,Rural,0.689,0.253,0.004,100.0,18.6
Pennsylvania,Philadelphia,11858.07,Not rural,0.721,0.234,0.031,83.4,18.8
Wyoming,Washakie,3.450695,Rural,0.767,0.154,0.001,100.0,15.3
North Carolina,Camden,43.8864,Rural,0.184,0.789,0.004,100.0,9.4
New York,Tompkins,216.0683,Not rural,0.599,0.244,0.072,89.6,12.3
Arkansas,Jefferson,76.72877,Not rural,0.47,0.516,0.001,96.6,35.3
Arkansas,Lincoln,23.26506,Rural,0.35,0.634,0.0,100.0,41.4
Wisconsin,Vernon,38.92426,Not rural,0.679,0.096,0.032,99.5,26.4
Missouri,Iron,17.33353,Rural,0.382,0.513,0.0,100.0,27.3
Texas,Hopkins,48.22322,Rural,0.278,0.696,0.0,100.0,15.7
New York,Albany,602.502,Not rural,0.684,0.216,0.072,69.1,11.7
Texas,Houston,17.95855,Rural,0.345,0.632,0.0,100.0,33.5
Ohio,Monroe,29.40601,Rural,0.678,0.197,0.047,100.0,27.2
Kansas,Rush,4.094666,Rural,0.865,0.103,0.0,100.0,15.8
Indiana,Montgomery,75.33579,Rural,0.702,0.247,0.019,100.0,13.6
Kansas,Stanton,3.027845,Rural,0.87,0.13,0.0,100.0,18.9
Kentucky,Lee,35.1402,Rural,0.221,0.62,0.061,100.0,30.8
Minnesota,Koochiching,3.888292,Rural,0.735,0.147,0.028,100.0,16.9
Texas,Bexar,1623.816,Not rural,0.295,0.691,0.001,87.9,15.8
Colorado,Boulder,452.4577,Not rural,0.737,0.237,0.0,61.1,6.7
Tennessee,Jefferson,199.9515,Rural,0.179,0.788,0.01,100.0,20.6
Oklahoma,Mayes,60.00314,Rural,0.465,0.465,0.0,100.0,18.9
Minnesota,Watonwan,25.76173,Rural,0.768,0.165,0.024,100.0,24.6
Idaho,Blaine,9.192725,Rural,0.492,0.409,0.011,100.0,12.3
Louisiana,Jefferson Davis,49.54104,Rural,0.295,0.698,0.003,100.0,23.6
South Dakota,Sully,1.309193,Rural,0.533,0.424,0.017,100.0,15.4
Colorado,Denver,4643.502,Not rural,0.642,0.336,0.001,67.7,11.2
Oklahoma,Coal,10.23081,Rural,0.514,0.447,0.0,100.0,30.8
Montana,Carter,0.3987454,Rural,0.726,0.152,0.0,100.0,16.0
Texas,Upton,2.645565,Rural,0.478,0.506,0.004,100.0,41.3
Indiana,Gibson,67.72157,Rural,0.598,0.37,0.003,100.0,15.0
Nebraska,Kimball,3.566396,Rural,0.754,0.199,0.0,100.0,21.2
Illinois,Kendall,414.6758,Not rural,0.914,0.081,0.0,60.4,4.2
District of Columbia,District of Columbia,10970.53,Not rural,0.513,0.447,0.009,73.5,15.9
Colorado,Montrose,19.10934,Rural,0.763,0.14,0.002,100.0,19.9
Minnesota,Wright,215.5956,Not rural,0.826,0.138,0.011,82.7,8.5
Wisconsin,Kenosha,620.5757,Not rural,0.816,0.161,0.007,73.0,11.0
Colorado,Eagle,33.0371,Rural,0.675,0.3,0.0,100.0,10.0
California,San Francisco,18209.41,Not rural,0.595,0.33,0.001,76.4,8.6
Colorado,San Miguel,6.281062,Rural,0.621,0.291,0.017,100.0,13.3
Florida,St. Johns,464.041,Not rural,0.079,0.904,0.002,83.4,10.5
Mississippi,Choctaw,19.62711,Rural,0.501,0.47,0.0,100.0,26.4
Missouri,Grundy,22.69277,Rural,0.583,0.295,0.0,100.0,25.3
Michigan,Lake,21.644,Rural,0.691,0.06,0.036,100.0,30.2
Michigan,Ottawa,525.5949,Not rural,0.877,0.091,0.01,81.3,9.5
Illinois,Cook,5529.932,Not rural,0.825,0.154,0.001,78.3,14.8
Illinois,Gallatin,15.38051,Rural,0.702,0.283,0.001,100.0,27.1
South Carolina,Greenwood,152.1255,Not rural,0.324,0.662,0.004,92.5,22.9
Kansas,Franklin,45.41672,Rural,0.659,0.282,0.001,100.0,23.8
Minnesota,Clay,62.48421,Not rural,0.59,0.35,0.029,64.8,13.9
Tennessee,Haywood,33.40041,Rural,0.469,0.514,0.0,100.0,33.9
Utah,Box Elder,10.08267,Not rural,0.867,0.097,0.0,75.1,9.1
Mississippi,Tippah,47.549,Rural,0.587,0.386,0.006,100.0,27.5
West Virginia,Marshall,99.88824,Not rural,0.578,0.336,0.028,99.9,23.0
West Virginia,Jackson,60.01387,Rural,0.375,0.573,0.0,100.0,18.6
Idaho,Elmore,9.350004,Rural,0.574,0.348,0.001,100.0,13.5
Maryland,Baltimore,1421.785,Not rural,0.548,0.361,0.076,76.4,10.3
North Dakota,Benson,4.292231,Rural,0.587,0.319,0.066,100.0,43.0
Missouri,Pike,26.42896,Rural,0.48,0.469,0.001,100.0,21.2
Ohio,Lawrence,127.9111,Rural,0.537,0.438,0.001,100.0,20.0
Missouri,Scott,90.606,Rural,0.46,0.521,0.001,100.0,17.5
Ohio,Adams,47.11478,Rural,0.314,0.543,0.028,100.0,30.2
Texas,Erath,39.50225,Not rural,0.263,0.723,0.0,82.8,16.6
Georgia,Habersham,167.3224,Rural,0.257,0.705,0.002,100.0,23.5
Georgia,Wilkinson,19.70551,Rural,0.245,0.733,0.0,100.0,35.7
West Virginia,Monongalia,294.3359,Not rural,0.569,0.397,0.01,90.3,10.9
Ohio,Crawford,104.1874,Rural,0.721,0.19,0.039,100.0,16.9
Florida,DeSoto,53.806,Not rural,0.038,0.918,0.003,99.0,41.9
Ohio,Guernsey,73.54642,Rural,0.589,0.289,0.048,100.0,22.9
Michigan,Barry,113.145,Rural,0.773,0.072,0.036,100.0,14.7
Missouri,Stone,67.51363,Rural,0.306,0.629,0.005,100.0,16.4
Virginia,Richmond,3790.921,Not rural,0.358,0.584,0.044,76.4,21.5
North Carolina,Stokes,99.46928,Not rural,0.11,0.753,0.088,89.1,26.7
Iowa,Clarke,22.58581,Rural,0.507,0.387,0.002,100.0,19.3
Iowa,Fayette,26.70847,Rural,0.784,0.152,0.009,100.0,15.5
California,Marin,500.5252,Not rural,0.723,0.248,0.001,69.4,6.8
Texas,Randall,155.0207,Not rural,0.58,0.409,0.0,77.1,9.9
Texas,Rusk,57.08189,Rural,0.348,0.633,0.0,100.0,35.0
Iowa,Warren,92.52738,Not rural,0.725,0.247,0.006,90.1,10.4
Ohio,Van Wert,70.47054,Rural,0.642,0.296,0.009,100.0,19.6
Florida,Glades,15.09503,Rural,0.029,0.92,0.0,100.0,34.1
Georgia,Meriwether,41.28315,Rural,0.276,0.68,0.0,100.0,33.1
Colorado,Costilla,2.878803,Rural,0.431,0.131,0.07,100.0,23.5
Texas,Coryell,78.80943,Not rural,0.259,0.721,0.0,82.1,9.8
Iowa,Adair,13.13786,Rural,0.754,0.218,0.004,100.0,20.5
Georgia,Chattahoochee,37.79896,Not rural,0.18,0.784,0.005,73.7,18.0
California,Mariposa,11.82326,Rural,0.418,0.18,0.01,100.0,22.2
Missouri,Howard,21.86713,Rural,0.608,0.313,0.004,100.0,17.2
Oregon,Marion,292.8541,Not rural,0.429,0.516,0.01,79.3,10.7
Wisconsin,Milwaukee,3864.295,Not rural,0.801,0.174,0.008,75.4,17.7
Minnesota,Scott,425.0007,Not rural,0.857,0.126,0.001,65.4,5.8
Ohio,Pickaway,117.338,Not rural,0.667,0.252,0.044,98.0,13.9
Virginia,Powhatan,117.2279,Not rural,0.116,0.804,0.025,99.9,7.6
Colorado,Broomfield,2242.964,Not rural,0.728,0.261,0.0,55.8,4.7
Tennessee,Lawrence,71.90868,Rural,0.387,0.538,0.002,100.0,24.3
Michigan,Antrim,49.74364,Rural,0.721,0.104,0.008,100.0,17.1
South Carolina,Marlboro,55.39999,Rural,0.23,0.743,0.014,100.0,31.9
Idaho,Benewah,12.52492,Rural,0.118,0.398,0.117,100.0,24.6
Illinois,Lee,47.21645,Rural,0.777,0.201,0.002,100.0,13.4
Nebraska,Nemaha,17.22976,Rural,0.604,0.323,0.005,100.0,17.6
North Carolina,Carteret,134.6581,Rural,0.109,0.869,0.007,100.0,12.1
Kansas,Pottawatomie,30.3092,Not rural,0.729,0.21,0.002,96.2,9.7
Michigan,Jackson,228.8612,Not rural,0.843,0.108,0.008,93.8,13.3
Texas,Comal,295.2506,Not rural,0.202,0.783,0.0,80.1,8.3
Massachusetts,Nantucket,304.4884,Rural,0.422,0.228,0.335,100.0,5.0
South Carolina,Bamberg,33.83865,Rural,0.245,0.727,0.022,100.0,31.1
Texas,Aransas,95.40257,Rural,0.243,0.721,0.0,100.0,13.3
Georgia,Berrien,40.11457,Rural,0.088,0.9,0.0,100.0,29.6
Indiana,Vermillion,60.2894,Rural,0.553,0.397,0.005,100.0,16.5
Michigan,Roscommon,45.309,Rural,0.846,0.072,0.002,100.0,17.4
North Carolina,Alleghany,46.79452,Rural,0.197,0.475,0.196,100.0,20.1
California,Lassen,7.018368,Rural,0.318,0.152,0.162,100.0,16.2
Virginia,Falls Church,7122.604,Not rural,0.56,0.413,0.005,56.0,4.5
Florida,Manatee,545.3552,Not rural,0.089,0.892,0.001,77.7,15.4
Ohio,Muskingum,130.0031,Not rural,0.621,0.291,0.039,90.1,17.5
Colorado,Chaffee,19.30515,Rural,0.722,0.18,0.0,100.0,14.1
Colorado,Crowley,7.342898,Rural,0.85,0.085,0.0,100.0,15.9
Colorado,Fremont,32.01583,Rural,0.796,0.126,0.003,100.0,13.9
Mississippi,Pearl River,69.45601,Rural,0.121,0.855,0.002,100.0,20.2
Mississippi,Perry,17.7836,Rural,0.14,0.825,0.0,100.0,22.8
Nebraska,Custer,4.102355,Rural,0.6,0.356,0.001,100.0,18.9
Florida,Calhoun,24.24135,Rural,0.111,0.853,0.0,100.0,25.4
Kentucky,Kenton,1054.218,Not rural,0.554,0.413,0.017,57.4,10.6
