state_name,county_name,population_density,rural_population,gas_percentage,electricity_percentage,oil_percentage,percentage_of_underserved_population,percentage_of_population_without_broadband_or_computer
North Carolina,Robeson,124.1145,Not rural,0.187,0.786,0.011,98.0,36.1
Michigan,Newaygo,59.75778,Rural,0.691,0.075,0.044,100.0,22.1
Oregon,Morrow,5.978737,Rural,0.141,0.717,0.026,100.0,19.9
Minnesota,Todd,26.74538,Rural,0.632,0.179,0.046,100.0,24.2
Arkansas,Logan,29.96266,Rural,0.339,0.568,0.005,100.0,24.8
North Carolina,Lincoln,297.2247,Not rural,0.219,0.741,0.02,93.3,13.1
Arkansas,Miller,68.39621,Not rural,0.382,0.598,0.0,82.8,20.8
Florida,Orange,1580.866,Not rural,0.053,0.922,0.002,81.1,10.8
Colorado,San Juan,1.780574,Rural,0.537,0.181,0.0,100.0,15.4
Idaho,Franklin,21.68264,Rural,0.741,0.139,0.053,100.0,8.1
Georgia,Carroll,240.5363,Not rural,0.409,0.561,0.007,88.1,14.0
Kansas,Riley,118.2709,Not rural,0.581,0.399,0.002,72.9,9.4
Texas,Schleicher,1.887625,Rural,0.443,0.549,0.0,100.0,27.9
Virginia,Russell,54.40696,Rural,0.046,0.868,0.044,100.0,34.6
North Carolina,Caldwell,171.0491,Not rural,0.191,0.684,0.077,100.0,15.8
Idaho,Madison,111.8489,Not rural,0.62,0.333,0.005,74.8,20.1
Indiana,Warrick,166.4704,Not rural,0.631,0.354,0.001,71.5,10.7
Kentucky,Adair,46.60092,Rural,0.158,0.753,0.011,100.0,25.2
Kentucky,Gallatin,88.72485,Rural,0.275,0.637,0.03,100.0,22.7
Kentucky,Harrison,61.35587,Rural,0.339,0.568,0.024,100.0,26.7
Maine,Sagadahoc,145.1618,Rural,0.201,0.063,0.608,100.0,12.2
Montana,Sweet Grass,1.992416,Rural,0.622,0.147,0.007,100.0,17.9
Texas,Grayson,146.8736,Not rural,0.383,0.599,0.001,85.2,18.3
Pennsylvania,Greene,62.12708,Rural,0.581,0.239,0.112,100.0,15.5
Kansas,Ellis,32.13757,Not rural,0.695,0.273,0.0,67.5,14.2
Alabama,Hale,22.89165,Rural,0.234,0.732,0.0,100.0,31.8
Alabama,Perry,11.78179,Rural,0.389,0.562,0.007,100.0,35.6
Alabama,Colbert,96.58432,Rural,0.356,0.63,0.002,100.0,23.8
Kansas,Pratt,12.48234,Rural,0.803,0.173,0.004,100.0,17.9
Kentucky,Bourbon,69.81194,Rural,0.377,0.594,0.007,100.0,21.6
Tennessee,Rutherford,555.0551,Not rural,0.254,0.732,0.001,70.4,11.2
Georgia,Cook,75.47363,Rural,0.112,0.864,0.0,100.0,32.3
Kansas,Lane,2.129887,Rural,0.866,0.125,0.0,100.0,9.8
Oklahoma,Harper,3.150444,Rural,0.702,0.258,0.0,100.0,23.2
Illinois,Piatt,38.02015,Rural,0.755,0.227,0.005,100.0,12.8
Texas,Crosby,5.728736,Rural,0.544,0.443,0.002,100.0,25.3
Alabama,Greene,11.90993,Rural,0.416,0.557,0.0,100.0,39.8
Idaho,Clark,0.4287792,Rural,0.302,0.217,0.07,100.0,31.0
Iowa,Kossuth,15.1306,Rural,0.814,0.153,0.015,100.0,17.7
North Dakota,Burke,1.978944,Rural,0.544,0.42,0.021,100.0,18.7
North Carolina,Durham,1130.611,Not rural,0.383,0.601,0.005,78.1,11.1
Iowa,Harrison,20.9837,Rural,0.613,0.348,0.004,100.0,18.4
Nebraska,Keya Paha,1.276718,Rural,0.461,0.359,0.0,100.0,15.0
Iowa,Webster,51.67776,Not rural,0.758,0.214,0.004,77.5,17.5
Illinois,Pope,10.2991,Rural,0.557,0.417,0.002,100.0,30.2
Tennessee,Smith,63.74264,Rural,0.377,0.58,0.001,100.0,17.9
Virginia,Henry,132.7576,Rural,0.089,0.764,0.094,100.0,23.2
Virginia,Alexandria,10551.76,Not rural,0.488,0.492,0.007,70.5,9.0
Iowa,Jefferson,36.24368,Rural,0.725,0.211,0.003,100.0,15.1
Montana,Lewis and Clark,20.67066,Not rural,0.706,0.223,0.001,79.4,12.8
Utah,Duchesne,6.113077,Rural,0.63,0.223,0.0,100.0,10.9
Oklahoma,Alfalfa,6.558078,Rural,0.628,0.328,0.0,100.0,19.3
Texas,Delta,20.55037,Rural,0.347,0.62,0.0,100.0,28.2
Tennessee,Trousdale,101.4153,Rural,0.213,0.718,0.019,100.0,22.8
Kentucky,Perry,82.82024,Rural,0.201,0.741,0.011,100.0,20.5
South Dakota,Deuel,6.901771,Rural,0.636,0.324,0.008,100.0,19.1
Oregon,Jackson,79.97982,Not rural,0.356,0.557,0.009,74.7,11.9
Texas,Zavala,7.47645,Rural,0.12,0.87,0.0,100.0,42.6
Nebraska,Banner,0.8980766,Rural,0.49,0.402,0.016,100.0,18.1
Iowa,Madison,29.60574,Rural,0.762,0.182,0.001,100.0,13.3
Florida,Broward,1613.511,Not rural,0.031,0.918,0.001,85.7,12.9
Georgia,Toombs,74.02493,Rural,0.083,0.893,0.0,100.0,24.3
Michigan,Sanilac,42.34387,Rural,0.745,0.101,0.044,100.0,25.3
Texas,Rockwall,869.6806,Not rural,0.48,0.51,0.0,68.1,5.1
Michigan,Wayne,2911.876,Not rural,0.874,0.112,0.001,78.1,20.3
Minnesota,Nobles,31.03549,Rural,0.794,0.156,0.016,100.0,20.4
Minnesota,Aitkin,8.707187,Rural,0.668,0.161,0.024,100.0,20.4
North Dakota,Ramsey,9.796966,Rural,0.601,0.346,0.006,100.0,17.1
North Carolina,Person,99.73757,Rural,0.359,0.603,0.014,100.0,16.1
Kansas,Trego,3.145679,Rural,0.769,0.215,0.0,100.0,10.5
Mississippi,Washington,61.61016,Not rural,0.588,0.403,0.001,95.4,32.9
Texas,Eastland,19.22487,Rural,0.454,0.517,0.0,100.0,25.9
Mississippi,Issaquena,2.920235,Rural,0.48,0.52,0.0,100.0,56.8
Texas,DeWitt,21.81135,Rural,0.331,0.651,0.0,100.0,32.8
Texas,Angelina,108.5497,Not rural,0.298,0.684,0.0,93.1,13.0
South Carolina,Saluda,41.86298,Rural,0.199,0.731,0.016,100.0,30.5
Missouri,Maries,16.04233,Rural,0.355,0.398,0.0,100.0,29.2
Arkansas,Arkansas,17.15886,Rural,0.399,0.582,0.0,100.0,25.9
Missouri,Lawrence,62.49574,Rural,0.561,0.355,0.0,100.0,19.9
Virginia,Charlottesville,4518.172,Not rural,0.457,0.531,0.004,66.7,14.8
Illinois,Bureau,38.20514,Rural,0.847,0.128,0.005,100.0,15.5
Ohio,Scioto,120.817,Not rural,0.535,0.412,0.015,91.9,21.3
North Carolina,Madison,47.62738,Not rural,0.193,0.452,0.202,94.7,24.8
Idaho,Jerome,40.95771,Rural,0.379,0.509,0.032,100.0,21.3
Ohio,Vinton,31.01657,Rural,0.438,0.401,0.032,100.0,29.1
Texas,McLennan,251.8505,Not rural,0.307,0.683,0.0,84.4,19.7
Idaho,Custer,0.8825364,Rural,0.082,0.657,0.009,100.0,17.8
Iowa,Howard,20.02973,Rural,0.778,0.125,0.021,100.0,20.2
Florida,Palm Beach,760.9894,Not rural,0.039,0.926,0.001,80.9,12.7
Georgia,Lincoln,36.72381,Rural,0.207,0.731,0.004,100.0,39.1
Alabama,Butler,24.43365,Rural,0.28,0.701,0.001,100.0,33.8
Tennessee,Sumner,371.7888,Not rural,0.439,0.549,0.002,73.3,11.0
Virginia,King and Queen,21.19948,Rural,0.091,0.79,0.068,100.0,31.8
Arkansas,Carroll,45.02422,Rural,0.441,0.474,0.006,100.0,25.6
Virginia,Waynesboro,1492.405,Not rural,0.522,0.437,0.013,69.0,22.5
Oregon,Multnomah,1874.853,Not rural,0.485,0.475,0.021,63.6,9.0
Tennessee,Grundy,37.59252,Rural,0.34,0.574,0.002,100.0,28.3
Minnesota,Hubbard,23.19516,Rural,0.531,0.303,0.018,100.0,15.6
North Dakota,Sargent,4.459026,Rural,0.42,0.461,0.077,100.0,13.7
New York,St. Lawrence,40.55766,Rural,0.465,0.135,0.255,100.0,16.8
Missouri,Reynolds,7.547522,Rural,0.373,0.418,0.0,100.0,19.7
California,Sacramento,1636.014,Not rural,0.609,0.37,0.001,79.8,9.2
Ohio,Paulding,45.20995,Rural,0.557,0.386,0.011,100.0,18.2
Indiana,Wells,76.52264,Rural,0.664,0.276,0.017,100.0,14.8
Virginia,Floyd,40.77466,Rural,0.103,0.631,0.069,100.0,19.4
California,Santa Barbara,162.847,Not rural,0.737,0.211,0.001,84.0,9.8
West Virginia,Boone,43.27722,Rural,0.433,0.544,0.004,100.0,18.6
Mississippi,Benton,18.78183,Rural,0.467,0.486,0.005,100.0,33.3
Kentucky,Crittenden,24.97175,Rural,0.54,0.39,0.009,100.0,28.4
Iowa,Palo Alto,15.85135,Rural,0.764,0.21,0.005,100.0,18.3
Iowa,Ringgold,8.758209,Rural,0.599,0.283,0.015,100.0,18.2
North Carolina,Randolph,184.584,Not rural,0.223,0.693,0.048,89.7,18.2
Maryland,Cecil,299.9597,Not rural,0.369,0.373,0.196,82.4,11.7
Indiana,Warren,23.1813,Rural,0.75,0.168,0.015,100.0,14.3
Nebraska,Greeley,3.881988,Rural,0.612,0.373,0.0,100.0,19.9
Nebraska,Jefferson,12.60133,Rural,0.57,0.386,0.012,100.0,19.9
Nebraska,Saline,24.86668,Rural,0.559,0.363,0.001,100.0,16.8
Kentucky,Knott,40.62881,Rural,0.431,0.535,0.015,100.0,29.4
Iowa,Clinton,66.89318,Not rural,0.79,0.176,0.008,78.0,15.7
Minnesota,Jackson,14.21109,Rural,0.818,0.118,0.031,100.0,14.7
Minnesota,Dodge,47.54932,Rural,0.855,0.102,0.008,100.0,8.8
Minnesota,Freeborn,43.62985,Rural,0.85,0.115,0.011,100.0,17.0
California,Calaveras,44.77759,Rural,0.584,0.171,0.011,100.0,13.7
Massachusetts,Barnstable,582.0292,Not rural,0.657,0.114,0.208,92.1,9.0
Virginia,Middlesex,82.39061,Rural,0.136,0.762,0.066,100.0,24.8
Pennsylvania,Jefferson,67.93888,Rural,0.752,0.08,0.076,100.0,22.9
Indiana,Lake,997.5999,Not rural,0.883,0.103,0.003,77.9,15.4
Tennessee,Bedford,106.6909,Not rural,0.228,0.748,0.001,88.8,21.6
Tennessee,Clay,32.0975,Rural,0.159,0.783,0.0,100.0,37.9
Illinois,Coles,92.61972,Not rural,0.561,0.423,0.0,84.2,16.3
Tennessee,Lauderdale,53.34022,Rural,0.56,0.42,0.002,100.0,22.5
Oregon,Baker,5.438456,Rural,0.491,0.303,0.05,100.0,16.8
